Employer Name,count,freq
Venable LLP,144,0.18297331639135958
Venable,93,0.1181702668360864
Not Employed,61,0.07750952986022872
Retired,53,0.06734434561626429
Self-Employed,25,0.03176620076238882
Hudson Cook LLP,12,0.015247776365946633
Unemployed,12,0.015247776365946633
Miles & Stockbridge P.C.,6,0.007623888182973317
Baker Donelson,5,0.0063532401524777635
Gallagher Evelius & Jones LLP,5,0.0063532401524777635
Palmetto Health,5,0.0063532401524777635
Self Employed,5,0.0063532401524777635
Kramon & Graham  P.A.,4,0.005082592121982211
McMurray Dispute Resolution Inc.,4,0.005082592121982211
Baker Donelson PC,3,0.0038119440914866584
Goldseker Foundation,3,0.0038119440914866584
Hirschler Fleischer,3,0.0038119440914866584
Johns Hopkins University,3,0.0038119440914866584
JPW Interiors,3,0.0038119440914866584
Locke Lord LLP,3,0.0038119440914866584
Sidley Austin L.L.P.,3,0.0038119440914866584
Verizon,3,0.0038119440914866584
Zuckerman Spaeder LLP,3,0.0038119440914866584
Achieve 3000,2,0.0025412960609911056
adjusters,2,0.0025412960609911056
Baltimore Curriculum Project,2,0.0025412960609911056
Beowulf Energy LLC,2,0.0025412960609911056
Boston Family Office,2,0.0025412960609911056
Calvert Foundation,2,0.0025412960609911056
CareFirst  Inc.,2,0.0025412960609911056
CH Baker Law,2,0.0025412960609911056
CLYNK,2,0.0025412960609911056
Colliers International New England LLC,2,0.0025412960609911056
Colliers Meredith  and Grew,2,0.0025412960609911056
Cornerstone Financial  LLP,2,0.0025412960609911056
DLA Piper,2,0.0025412960609911056
Drinker Biddle & Reath LLP,2,0.0025412960609911056
Emory University,2,0.0025412960609911056
Fidelity & Guaranty Life,2,0.0025412960609911056
Gallagher Evelius & Jones,2,0.0025412960609911056
Goodell DeVries,2,0.0025412960609911056
Green Law Firm LLC,2,0.0025412960609911056
Hogan Lovells,2,0.0025412960609911056
Hogan Lovells US LLP,2,0.0025412960609911056
Investment Counselors of Maryland,2,0.0025412960609911056
Johns Hopkins,2,0.0025412960609911056
Kirkland & Ellis LLP,2,0.0025412960609911056
Lead1 Association,2,0.0025412960609911056
Long and Foster,2,0.0025412960609911056
Lonza,2,0.0025412960609911056
Loyola University Maryland,2,0.0025412960609911056
M.C.P.S.,2,0.0025412960609911056
Morgan Lewis LLC,2,0.0025412960609911056
NKF,2,0.0025412960609911056
Office Of The Attorney General,2,0.0025412960609911056
Public Justice Center,2,0.0025412960609911056
Regan Zambri Long,2,0.0025412960609911056
Riviera Partners,2,0.0025412960609911056
Ropes & Gray LLP,2,0.0025412960609911056
Saab North Ameica Inc.,2,0.0025412960609911056
Schlachman  Belsky & Weiner  P.A.,2,0.0025412960609911056
Seawall Development Company,2,0.0025412960609911056
Semmes  Bowen  & Semmes,2,0.0025412960609911056
State of MD Attorney General's Office,2,0.0025412960609911056
Synergies Consulting Group,2,0.0025412960609911056
UCG,2,0.0025412960609911056
Verity LLC,2,0.0025412960609911056
Weinberg Foundation,2,0.0025412960609911056
Wilmer Cutler Pickering Hale and Dorr LLP,2,0.0025412960609911056
Zephyr Education Foundation,2,0.0025412960609911056
Ziger/Snead,2,0.0025412960609911056
Adair Leadership Consulting LLC,1,0.0012706480304955528
AHA Engineers,1,0.0012706480304955528
Alex Donner Entertainment Corp.,1,0.0012706480304955528
AllianceHealth,1,0.0012706480304955528
Apogee Venture Group,1,0.0012706480304955528
AR Development,1,0.0012706480304955528
Archdiocese of Baltimore,1,0.0012706480304955528
Arent Fox,1,0.0012706480304955528
Arnold & Porter Kaye Scholar LLP,1,0.0012706480304955528
Atapco Properties,1,0.0012706480304955528
Atlantic Management Corporation,1,0.0012706480304955528
Ayers Saints Gross,1,0.0012706480304955528
Ballard Spahr,1,0.0012706480304955528
